"q_sort_order","question","questionaire_type","answer","score","weight","ans_sort_order"
1,"Annual Income (Before Tax)","IAAF","< HKD 300,000",0.2,0.1,1
1,"Annual Income (Before Tax)","IAAF","HKD 300K-799K",0.5,0.1,2
1,"Annual Income (Before Tax)","IAAF","HKD 800K-1.9M",0.8,0.1,3
1,"Annual Income (Before Tax)","IAAF","HKD 2M-5M",0.95,0.1,4
1,"Annual Income (Before Tax)","IAAF","> HKD 5M",1,0.1,5
2,"Income Stability","IAAF","Employed >5 years",1,0.1,6
2,"Income Stability","IAAF","Employed 2-5 years",0.7,0.1,7
2,"Income Stability","IAAF","Self-employed",0.5,0.1,8
2,"Income Stability","IAAF","Freelance/Contract",0.3,0.1,9
2,"Income Stability","IAAF","Unemployed",0,0.1,10
3,"Bonus/Investment Income (% of total)","IAAF","0-10%",0.9,0.1,11
3,"Bonus/Investment Income (% of total)","IAAF","11-25%",0.7,0.1,12
3,"Bonus/Investment Income (% of total)","IAAF","26-50%",0.4,0.1,13
3,"Bonus/Investment Income (% of total)","IAAF",">50%",0.2,0.1,14
4,"MPF/Obligatory Contributions (% income)","IAAF","<5%",1,0.1,15
4,"MPF/Obligatory Contributions (% income)","IAAF","5-10%",0.9,0.1,16
4,"MPF/Obligatory Contributions (% income)","IAAF","11-15%",0.6,0.1,17
4,"MPF/Obligatory Contributions (% income)","IAAF",">15%",0.3,0.1,18
5,"Number of Dependents","IAAF",0,1,0.0875,19
5,"Number of Dependents","IAAF",1,0.8,0.0875,20
5,"Number of Dependents","IAAF",2,0.5,0.0875,21
5,"Number of Dependents","IAAF",3,0.3,0.0875,22
5,"Number of Dependents","IAAF","4+",0.1,0.0875,23
6,"Age Group","IAAF","<35",1,0.0875,24
6,"Age Group","IAAF","35-50",0.9,0.0875,25
6,"Age Group","IAAF","51-65",0.7,0.0875,26
6,"Age Group","IAAF","66+",0.4,0.0875,27
7,"Marital Status","IAAF","Single/no deps",0.7,0.0875,28
7,"Marital Status","IAAF","Married/dual inc",0.9,0.0875,29
7,"Marital Status","IAAF","Married/single inc",0.6,0.0875,30
7,"Marital Status","IAAF","Divorced",0.4,0.0875,31
7,"Marital Status","IAAF","Widowed",0.3,0.0875,32
8,"Caregiving Responsibilities","IAAF","None",1,0.0875,33
8,"Caregiving Responsibilities","IAAF","Elderly parents",0.7,0.0875,34
8,"Caregiving Responsibilities","IAAF","Young children",0.5,0.0875,35
8,"Caregiving Responsibilities","IAAF","Both",0.2,0.0875,36
9,"Monthly Fixed Expenses (% Income)","IAAF","<60%",1,0.0625,37
9,"Monthly Fixed Expenses (% Income)","IAAF","60-75%",0.8,0.0625,38
9,"Monthly Fixed Expenses (% Income)","IAAF","75-90%",0.4,0.0625,39
9,"Monthly Fixed Expenses (% Income)","IAAF",">90%",0.1,0.0625,40
10,"Liquid Assets (Cash/Deposits/Stocks)","IAAF","<HKD 300K",0.2,0.0625,41
10,"Liquid Assets (Cash/Deposits/Stocks)","IAAF","HKD 300K-1M",0.4,0.0625,42
10,"Liquid Assets (Cash/Deposits/Stocks)","IAAF","HKD 1M-3M",0.7,0.0625,43
10,"Liquid Assets (Cash/Deposits/Stocks)","IAAF","HKD 3M-6M",0.9,0.0625,44
10,"Liquid Assets (Cash/Deposits/Stocks)","IAAF",">HKD 6M",1,0.0625,45
11,"Debt Servicing Ratio","IAAF","<20% of income",1,0.0625,46
11,"Debt Servicing Ratio","IAAF","20-40%",0.6,0.0625,47
11,"Debt Servicing Ratio","IAAF","40-60%",0.3,0.0625,48
11,"Debt Servicing Ratio","IAAF",">60%",0,0.0625,49
12,"Existing Insurance Premiums (% Income)","IAAF","<5%",1,0.0625,50
12,"Existing Insurance Premiums (% Income)","IAAF","5-10%",0.6,0.0625,51
12,"Existing Insurance Premiums (% Income)","IAAF","10-15%",0.3,0.0625,52
12,"Existing Insurance Premiums (% Income)","IAAF",">15%",0,0.0625,53
